"","dataset","sampleID","G.check","XIST_214218_s_at_8687","XIST_221728_x_at_1196","XIST_224588_at_1147332","XIST_224589_at_1147331","XIST_224590_at_1147330","XIST_227671_at_1144254","KDM5D_206700_s_at_16058","RPS4Y1_201909_at_20847","G.kmean","KMvsGEO","medianFemale","medianMale","medianF_M","G.medianF_M","Kmean.Median"
"71","GSE10760","GSE10760_Biomat_73","female",9.747343056,10.88915327,12.11909593,3.761938304,7.647763582,9.860305338,2.678971679,3.838804512,"female","female",9.803824197,3.2588880955,6.5449361015,"female","female"
"72","GSE10760","GSE10760_Biomat_74","female",10.4891635,11.53494844,12.35822251,3.59232853,6.492086941,10.11514862,2.57522906,2.892864557,"female","female",10.30215606,2.7340468085,7.5681092515,"female","female"
"73","GSE10760","GSE10760_Biomat_75","female",10.15888132,11.36239499,11.94788352,3.986133357,7.5522362,9.731233232,2.555748517,2.838164219,"female","female",9.945057276,2.696956368,7.248100908,"female","female"
"74","GSE10760","GSE10760_Biomat_76","female",10.4012194,11.13532566,12.35768959,3.717789548,8.609228098,11.81606761,2.572629309,3.873461985,"female","female",10.76827253,3.223045647,7.545226883,"female","female"
"75","GSE10760","GSE10760_Biomat_77","female",10.11522851,11.21665092,12.73992173,5.760948036,8.369770769,12.05281957,2.538784797,3.630307681,"female","female",10.665939715,3.084546239,7.581393476,"female","female"
"76","GSE10760","GSE10760_Biomat_78","female",10.2027503,11.69181313,12.68998648,4.985259874,8.693775575,12.50893361,2.529778885,3.028267936,"female","female",10.947281715,2.7790234105,8.1682583045,"female","female"
"77","GSE10760","GSE10760_Biomat_79","female",11.11482519,11.26439913,12.69432721,9.610915312,8.113194923,12.58784061,2.410896194,2.776931402,"female","female",11.18961216,2.593913798,8.595698362,"female","female"
"78","GSE10760","GSE10760_Biomat_8","male",8.16101075,1.945463307,2.550584049,3.682803634,2.995149513,2.016516295,10.67983104,14.33290636,"male","male",2.772866781,12.5063687,-9.733501919,"male","male"
"79","GSE10760","GSE10760_Biomat_80","male",5.123088567,2.543560303,2.758670321,3.631596712,3.691486453,2.643869251,8.048616543,11.57905909,"male","male",3.1951335165,9.8138378165,-6.6187043,"male","male"
"80","GSE10760","GSE10760_Biomat_81","male",5.91489555,2.525665808,2.392241365,3.55902333,3.420147221,2.569074154,8.480739652,11.84276202,"male","male",2.9946106875,10.161750836,-7.1671401485,"male","male"
"81","GSE10760","GSE10760_Biomat_82","male",5.143465999,2.516575185,2.69358996,3.540090266,3.386661786,2.530006476,8.659009622,11.61120928,"male","male",3.040125873,10.135109451,-7.094983578,"male","male"
"82","GSE10760","GSE10760_Biomat_83","male",5.976369749,2.524938718,2.691717844,3.557212173,3.369402563,2.549496766,8.900051616,11.83853654,"male","male",3.0305602035,10.369294078,-7.3387338745,"male","male"
"83","GSE10760","GSE10760_Biomat_84","male",5.093385682,2.525004004,2.717231913,3.55634868,3.414141416,2.590441884,8.733432363,11.85195469,"male","male",3.0656866645,10.2926935265,-7.227006862,"male","male"
"84","GSE10760","GSE10760_Biomat_85","male",4.779453013,2.534607558,2.734347554,3.589442898,3.07815219,2.579728292,8.224399392,11.21521064,"male","male",2.906249872,9.719805016,-6.813555144,"male","male"
"85","GSE10760","GSE10760_Biomat_86","male",5.004087039,2.530418128,2.820682301,3.569335955,3.398627383,2.578498122,7.789741611,11.59259306,"male","male",3.109654842,9.6911673355,-6.5815124935,"male","male"
