"","dataset","sampleID","G.check","XIST_214218_s_at_129641","XIST_221728_x_at_122150","XIST_224588_at_119311","XIST_224589_at_119310","XIST_224590_at_119309","XIST_227671_at_116233","KDM5D_206700_s_at_137012","RPS4Y1_201909_at_141801","G.kmean","KMvsGEO","medianFemale","medianMale","medianF_M","G.medianF_M","Kmean.Median"
"1514","GSE23376","GSE23376_Biomat_7","female",2.92816909090909,4.85780136363636,4.45687363636364,3.78117409090909,2.89007954545455,5.13076318181818,3.84776681818182,5.85333863636364,"male","disagree",4.11902386363636,4.85055272727273,-0.731528863636365,"male","male"
"1516","GSE23376","GSE23376_Biomat_9","male",6.47291409090909,8.63471818181818,10.0610695454545,5.03008045454545,3.80785909090909,8.29653909090909,3.46016909090909,4.48242954545455,"female","disagree",7.38472659090909,3.97129931818182,3.41342727272727,"female","female"
"1563","GSE23501","GSE23501_Biomat_51","female",3.44837362318841,5.59693086956522,7.41611347826087,3.07172391304348,2.91507826086957,5.10618231884058,3.17955956521739,6.16512579710145,"male","disagree",4.2772779710145,4.67234268115942,-0.395064710144925,"male","male"
"1651","GSE25941","GSE25941_Biomat_33","male",11.858765,12.3752083333333,12.5579155555556,8.73217527777778,10.2057058333333,10.6508886111111,4.07975666666667,7.32029583333333,"female","disagree",11.2548268055555,5.70002625,5.55480055555555,"female","female"
"1684","GSE26051","GSE26051_Biomat_30","female",4.27105574518912,6.68108376311049,8.00205715212386,3.52726773329507,2.9687025255193,3.43609579517777,4.36745312313488,6.10126249444217,"male","disagree",3.89916173924209,5.23435780878853,-1.33519606954643,"male","male"
"1721","GSE27657","GSE27657_Biomat_7","male",4.57170075141482,5.94567430802256,7.9793043707234,4.27132710733656,3.71856097585024,6.06820598084215,2.7800842143299,7.07520897142478,"female","disagree",5.25868752971869,4.92764659287734,0.331040936841351,"female","female"
"1727","GSE27916","GSE27916_Biomat_101","female",2.68537503896681,3.47573422220577,4.00856297702513,1.84158273344893,2.25083416521239,3.5905639678518,2.19382246777353,5.34133166922503,"male","disagree",3.08055463058629,3.76757706849928,-0.68702243791299,"male","male"
"1876","GSE27916","GSE27916_Biomat_236","male",3.85487472393083,4.80518570907465,5.73780172879555,4.30860292734612,3.16961391405269,4.96533228956328,1.59949244516499,3.68960342846869,"female","disagree",4.55689431821039,2.64454793681684,1.91234638139355,"female","female"
"2298","GSE31983","GSE31983_Biomat_32","male",9.272276233,10.8112164,11.8784433,5.854802922,8.104919596,10.71086368,3.761030203,5.009904921,"female","disagree",9.9915699565,4.385467562,5.6061023945,"female","female"
"2300","GSE31983","GSE31983_Biomat_34","female",2.608911223,3.73852833,3.631926341,3.731231045,2.756505969,3.105610341,7.864551069,11.43624239,"male","disagree",3.368768341,9.6503967295,-6.2816283885,"male","male"
"2363","GSE31983","GSE31983_Biomat_91","male",9.198676938,10.63701181,11.92375805,6.50436659,8.394241989,10.90415016,3.44819297,4.951709136,"female","disagree",9.917844374,4.199951053,5.717893321,"female","female"
"2365","GSE31983","GSE31983_Biomat_93","male",9.34820218,10.83706117,11.88122583,6.311608934,8.356613246,10.81986768,3.557704266,5.057752544,"female","disagree",10.08403493,4.307728405,5.776306525,"female","female"
"2368","GSE31983","GSE31983_Biomat_96","female",2.924085329,3.649168862,3.639962191,3.65949861,2.944839338,3.217525062,7.985960107,11.34280259,"male","disagree",3.4287436265,9.6643813485,-6.235637722,"male","male"
"2369","GSE31983","GSE31983_Biomat_97","male",9.443609259,10.99737203,12.05684959,6.46557005,8.304865426,11.02867793,3.635045342,5.016907295,"female","disagree",10.2204906445,4.3259763185,5.894514326,"female","female"
"2371","GSE31983","GSE31983_Biomat_99","female",2.951720013,3.227182099,3.356963486,4.00959068,2.786698339,3.377664206,8.314672292,11.24794477,"male","disagree",3.2920727925,9.781308531,-6.4892357385,"male","male"
"2384","GSE5086","GSE5086_Biomat_20","female",5.84825634940535,6.90021353858766,6.35481071403035,7.60712496969997,3.07691508218727,6.61264548480076,9.15890339260352,12.0753073839583,"male","disagree",6.48372809941555,10.6171053882809,-4.13337728886538,"male","male"
"2386","GSE5086","GSE5086_Biomat_22","male",9.4713146335475,9.84327845064306,11.7259239946804,9.17241176569054,8.5267917212646,11.0961269446313,6.94800663895592,7.00112583121283,"female","disagree",9.65729654209528,6.97456623508437,2.68273030701091,"female","female"
"2417","GSE5086","GSE5086_Biomat_50","male",9.05792358469474,9.31915079572918,12.0159379743531,7.8679602804269,8.70532378591756,11.6434661307167,7.42602200694986,7.05804612396466,"female","disagree",9.18853719021196,7.24203406545726,1.9465031247547,"female","female"
"2470","GSE55609","GSE55609_Biomat_3","female",4.6000211171157,5.1239166017991,5.81823463309692,4.66215157278702,3.68512191985397,4.24606435007621,4.11448455023323,5.53778295317982,"male","disagree",4.63108634495136,4.82613375170653,-0.195047406755165,"male","male"
"2474","GSE55609","GSE55609_Biomat_7","female",3.61366467902518,4.37948511930005,5.2096148552857,3.84180561307604,3.15331198519681,4.17033657980531,4.26825652850723,6.18359008392024,"male","disagree",4.00607109644068,5.22592330621374,-1.21985220977306,"male","male"
"2566","GSE8586","GSE8586_bioMaterial_13","male",6.82586776827518,7.49585401781904,10.1325886426899,5.91226551693943,7.08123141827094,8.61222644465865,4.93668906647652,7.29788210637771,"female","disagree",7.28854271804499,6.11728558642711,1.17125713161788,"female","female"
"2596","GSE8586","GSE8586_bioMaterial_41","female",5.20131785185504,6.18053242048188,8.88146017041665,3.75338572232337,4.47122588863135,7.80999480718641,6.14328421613996,9.33858387448406,"male","disagree",5.69092513616846,7.74093404531201,-2.05000890914355,"male","male"
"2607","GSE8586","GSE8586_bioMaterial_51","female",4.88283125446351,5.3965134684361,7.26574571816885,3.82947664569819,4.42081490826339,6.4323268074733,6.05964102347897,8.78982659079079,"male","disagree",5.13967236144981,7.42473380713488,-2.28506144568507,"male","male"
"2631","GSE9692","GSE9692_Biomat_12","male",9.59227511111111,9.90758444444444,12.572812,8.15236377777778,9.93293844444444,12.6733344444444,4.66094688888889,6.22814577777778,"female","disagree",9.92026144444444,5.44454633333334,4.47571511111111,"female","female"
"2632","GSE9692","GSE9692_Biomat_13","female",2.61547644444444,4.43315644444444,4.24306355555555,3.12502222222222,2.69792666666667,4.45186466666667,8.32853577777778,11.7523102222222,"male","disagree",3.68404288888888,10.040423,-6.3563801111111,"male","male"
"2647","GSE9692","GSE9692_Biomat_27","male",7.86269422222222,9.18617888888889,11.5928577777778,7.59473755555556,8.24764,9.07930955555556,4.40225333333333,5.98944266666666,"female","disagree",8.66347477777778,5.19584799999999,3.46762677777778,"female","female"
"2651","GSE9692","GSE9692_Biomat_30","female",3.04447311111111,3.83627733333333,4.41861866666667,3.06163288888889,2.75319822222222,5.59377977777778,7.42037533333333,9.91983022222222,"male","disagree",3.44895511111111,8.67010277777777,-5.22114766666666,"male","male"
